               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094269,            0.014453,            0.037069,          0.00034861,              0.2106,           0.0010429,          0.00026112,            0.072102,           0.0057508,            0.025871,            0.070191,           0.0033121,           0.0033121
                   1,            0.081038,            0.010959,            0.026655,           0.0054675,              0.3096,           0.0066692,           0.0020968,            0.070761,           0.0055398,            0.022302,            0.040158,           0.0066125,           0.0066125
                   2,            0.075964,            0.010339,            0.024191,              0.7771,            0.034404,            0.018268,           0.0056068,            0.067116,           0.0054842,            0.018334,            0.010092,             0.00988,             0.00988
                   3,            0.074796,            0.010146,            0.023057,             0.76564,            0.025229,            0.026942,            0.006282,            0.068468,           0.0060632,            0.016957,           0.0098515,           0.0098515,           0.0098515
                   4,            0.072684,           0.0094753,            0.021456,             0.76774,            0.052752,            0.025967,            0.006638,             0.06568,           0.0052995,            0.020847,           0.0098515,           0.0098515,           0.0098515
                   5,            0.070782,           0.0097229,            0.020495,             0.77214,             0.08945,            0.044209,            0.011232,            0.063173,           0.0055635,            0.016372,            0.009802,            0.009802,            0.009802
                   6,            0.070242,           0.0090586,            0.020509,             0.79221,            0.055046,            0.042593,            0.012385,            0.063561,           0.0054277,            0.015791,           0.0097525,           0.0097525,           0.0097525
                   7,            0.068153,           0.0088739,            0.020632,             0.77508,            0.080275,            0.037787,           0.0090912,            0.063656,           0.0051765,             0.01794,            0.009703,            0.009703,            0.009703
                   8,             0.06679,           0.0089889,            0.019882,             0.29976,             0.14017,             0.08033,            0.022381,            0.059232,           0.0050673,            0.014746,           0.0096535,           0.0096535,           0.0096535
                   9,            0.067016,           0.0088719,            0.019268,              0.2866,             0.11239,            0.057909,            0.015567,            0.059799,           0.0051845,            0.016709,            0.009604,            0.009604,            0.009604
                  10,            0.065722,           0.0086811,            0.018554,             0.81161,            0.088519,             0.08579,            0.019879,            0.058968,           0.0049908,            0.013777,           0.0095545,           0.0095545,           0.0095545
                  11,             0.06596,            0.008273,            0.017294,             0.54878,             0.22356,            0.088081,            0.021118,            0.060382,           0.0050711,            0.015648,            0.009505,            0.009505,            0.009505
                  12,             0.06558,           0.0083412,            0.017526,             0.26453,             0.20847,             0.11423,            0.032886,            0.056884,           0.0048794,            0.014031,           0.0094555,           0.0094555,           0.0094555
                  13,            0.065323,           0.0083446,            0.017159,            0.089866,             0.13239,            0.074558,            0.022347,            0.056848,           0.0050121,            0.013686,            0.009406,            0.009406,            0.009406
                  14,            0.064268,           0.0081615,            0.016481,            0.070349,             0.21032,            0.093404,            0.027027,            0.056566,           0.0050415,            0.013128,           0.0093565,           0.0093565,           0.0093565
                  15,            0.062384,           0.0088666,            0.015605,             0.37054,             0.22065,             0.14118,            0.034013,            0.057165,            0.004782,            0.013995,            0.009307,            0.009307,            0.009307
                  16,            0.062599,           0.0086084,            0.015604,             0.28378,             0.17688,             0.14923,            0.041693,            0.056953,           0.0051382,            0.013984,           0.0092575,           0.0092575,           0.0092575
                  17,            0.062905,           0.0085628,            0.017411,             0.22297,             0.14826,             0.12494,            0.036857,            0.056638,           0.0049211,            0.013885,            0.009208,            0.009208,            0.009208
                  18,            0.062659,           0.0083213,            0.015347,             0.10599,             0.29717,             0.11092,            0.033075,            0.055442,           0.0051445,            0.011637,           0.0091585,           0.0091585,           0.0091585
                  19,            0.061288,           0.0084747,            0.014971,             0.37465,             0.20521,             0.15357,            0.044639,            0.054625,           0.0047202,            0.012929,            0.009109,            0.009109,            0.009109
                  20,            0.061871,           0.0085416,            0.015652,             0.17964,             0.25366,             0.16063,            0.052384,            0.055618,           0.0046844,             0.01263,           0.0090595,           0.0090595,           0.0090595
                  21,            0.060556,            0.008356,             0.01425,             0.14854,             0.23427,             0.14863,            0.041824,            0.057636,           0.0046538,             0.01366,             0.00901,             0.00901,             0.00901
                  22,            0.060826,           0.0085592,            0.014673,              0.4445,             0.11839,             0.16252,             0.04704,            0.057654,           0.0047262,            0.013711,           0.0089605,           0.0089605,           0.0089605
